iteration,log_loss,roc_auc,brier_score,accuracy,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap
93,0.6865871841071807,0.6055526903902355,0.24546384679578676,0.5919317300232738,300,10,20,,5.0,gini,,True
84,0.6869184072868825,0.6076794616763673,0.24573126368648554,0.5903801396431342,200,50,40,,4.0,gini,,True
57,0.6872952905395068,0.6118016159532405,0.24640140586536963,0.5810705973622964,500,20,10,0.7,2.0,entropy,,True
46,0.6880832326343114,0.6078317247476608,0.2444118181808131,0.5865011636927852,1200,5,5,sqrt,,entropy,,True
81,0.688313513322929,0.6045003560991183,0.24635566812377094,0.5919317300232738,800,20,1,,4.0,gini,,True
5,0.6888607853113216,0.604555612858862,0.24545665502764627,0.582622187742436,200,20,20,,10.0,gini,,True
18,0.6905265532163528,0.5993884918588375,0.24664609358359557,0.591155934833204,300,10,5,,8.0,gini,,True
86,0.6907044656583138,0.5984429873032245,0.2467607545487747,0.5903801396431342,800,5,1,,8.0,gini,,True
13,0.6908686661782285,0.6075652643728973,0.2478348821398195,0.5818463925523661,1200,20,1,,2.0,gini,,True
2,0.6910055314285094,0.606496967017854,0.2478772129803629,0.5841737781225756,200,10,20,,2.0,gini,,True
75,0.6920262109585914,0.6031557749453572,0.24525601503240038,0.5857253685027153,300,50,1,0.5,,gini,,True
38,0.6931978009989723,0.6012844126820402,0.24596412031272638,0.5888285492629945,500,20,10,0.7,,gini,,True
19,0.6938602481571567,0.5939806969719296,0.24632885188749207,0.5888285492629945,500,5,1,0.7,,log_loss,balanced,True
22,0.6941521829630295,0.5959478376188021,0.2471193257224952,0.582622187742436,800,5,1,0.5,15.0,log_loss,,True
94,0.7052182684371476,0.5906996733711536,0.24940831441483452,0.5927075252133437,1200,2,1,,,log_loss,,True
