segment_type,segment_value,number_of_bets,win_rate,total_profit,roi,average_edge
month,2024-01,12,0.5,6.132857142857142,0.5110714285714285,0.19340335486528323
month,2024-02,22,0.22727272727272727,-10.624429530201342,-0.4829286150091519,0.18899489685474566
month,2024-03,26,0.46153846153846156,10.132030230161458,0.3896934703908253,0.17054543428775773
month,2024-04,21,0.3333333333333333,-0.34043478260869664,-0.01621118012422365,0.1853251707852476
month,2024-05,13,0.23076923076923078,-4.297590361445783,-0.33058387395736794,0.16488059125034496
month,2024-06,21,0.23809523809523808,-6.830769230769231,-0.3252747252747253,0.1704153872508535
month,2024-07,16,0.5,6.659565217391304,0.4162228260869565,0.16584026890027606
month,2024-08,24,0.125,-14.866666666666667,-0.6194444444444445,0.1891105822943707
month,2024-09,23,0.30434782608695654,-1.6100000000000003,-0.07000000000000002,0.18158501553029763
month,2024-10,27,0.3333333333333333,1.6615239829993929,0.06153792529627381,0.1867176559295803
month,2024-11,27,0.37037037037037035,8.739565217391304,0.3236876006441224,0.19604867026548564
month,2024-12,9,0.2222222222222222,-5.479831932773109,-0.6088702147525678,0.20453810932361075
quarter,2024Q1,60,0.38333333333333336,5.640457842817258,0.09400763071362098,0.18188182134449174
quarter,2024Q2,55,0.2727272727272727,-11.46879437482371,-0.20852353408770383,0.17479998918204748
quarter,2024Q3,63,0.2857142857142857,-9.817101449275363,-0.15582700713135497,0.18045323229628826
quarter,2024Q4,63,0.3333333333333333,4.921257267617586,0.07811519472408866,0.1932624411298298
