strategy_name,edge_threshold,number_of_bets,win_rate,total_profit,roi,average_edge,average_odds,max_drawdown,total_staked,kelly_fraction,starting_bankroll,final_bankroll
kelly,0.08,241,0.31950207468879666,-791.0028806017638,-0.1168812439759184,0.18286720378227198,3.6214288975877817,1097.9314624142394,6767.577531641757,0.25,1000.0,208.99711939823615
kelly,0.1,213,0.3051643192488263,-793.6681401455307,-0.13042205963987835,0.19486244546746453,3.7594775095524513,981.6371883081358,6085.382659475005,0.25,1000.0,206.33185985446917
kelly,0.05,287,0.32752613240418116,-826.7193188833157,-0.12259994239841586,0.16404374649484227,3.432625029692264,1090.5174780164919,6743.227628906276,0.25,1000.0,173.28068111668497
kelly,0.02,337,0.35311572700296734,-834.9556683052515,-0.12075992469680383,0.1449362725611629,3.274831420824545,1097.841561087172,6914.178444559351,0.25,1000.0,165.04433169474882
kelly,0.0,367,0.3678474114441417,-835.3644143558975,-0.12082603680995292,0.1339708648044655,3.1699249948462267,1098.1600425183315,6913.778159171444,0.25,1000.0,164.635585644103
kelly,0.1,213,0.3051643192488263,-989.3480325920481,-0.1641886960106316,0.19486244546746453,3.7594775095524513,1168.2347334747112,6025.676898779837,0.5,1000.0,10.65196740795191
kelly,0.08,241,0.31950207468879666,-989.5096143084199,-0.1413386607742151,0.18286720378227198,3.6214288975877817,1431.687640682505,7000.983374882377,0.5,1000.0,10.490385691580089
kelly,0.05,287,0.32752613240418116,-992.9589395551902,-0.14874119120434307,0.16404374649484227,3.432625029692264,1373.6061508223172,6675.749545336416,0.5,1000.0,7.041060444809481
kelly,0.02,337,0.35311572700296734,-993.6371916361202,-0.14544101514814947,0.1449362725611629,3.274831420824545,1384.2610071510155,6831.891200869157,0.5,1000.0,6.362808363879969
kelly,0.0,367,0.3678474114441417,-993.6686887125115,-0.14544806826704568,0.1339708648044655,3.1699249948462267,1384.2849609807176,6831.776458440927,0.5,1000.0,6.331311287488402
