removed_group,feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_full,delta_roc_auc_vs_full,features_removed
cardio_features,39,0.6578024544809536,0.6221623317362537,0.23313660649973267,0.5964757709251102,0.0014483081066828385,-0.004670824143787833,"diff_decision_rate, pre_fight_red_late_finish_rate"
finish_vs_durability_features,38,0.656331992482909,0.6270327908332699,0.2323411234326734,0.6035242290748899,-2.2153891361842426e-05,0.0001996349532283892,"diff_finish_vs_durability, red_finish_vs_blue_durability, blue_finish_vs_red_durability"
td_matchup_interaction_features,37,0.6561695099451632,0.6274193855046011,0.2322481437765184,0.6052863436123348,-0.0001846364291075986,0.0005862296245595644,"diff_td_offense_vs_td_defense, diff_grappling_pressure_vs_defense, red_td_offense_vs_blue_td_defense, blue_td_offense_vs_red_td_defense"
momentum_features,37,0.655922823227465,0.6273876974167871,0.23215387827882839,0.6026431718061674,-0.00043132314680582873,0.0005545415367456119,"diff_momentum_win_pct, diff_momentum_sig_strikes_per_min, diff_momentum_td_landed_per_fight, diff_momentum_kd_absorbed_per_fight"
layoff_features,38,0.6558223857412443,0.6280689913047887,0.23215967687305436,0.5973568281938326,-0.0005317606330265123,0.0012358354247471448,"diff_days_since_last_fight, diff_short_turnaround, diff_long_layoff"
style_features,37,0.6550166919135952,0.6303853905239942,0.23173081625453973,0.6105726872246696,-0.001337454460675569,0.003552234643952712,"diff_striker_score, diff_grappler_score, diff_style_index, diff_grappler_vs_striker_interaction"
five_round_experience_features,38,0.6542336684446565,0.6325908814358506,0.23134927795320118,0.6052863436123348,-0.0021204779296143395,0.005757725555809112,"diff_past_5_round_scheduled_fights, diff_past_5_round_wins, diff_past_5_round_losses"
