probability_bin,rows,mean_predicted_probability,observed_red_win_rate
0,116,0.46392334,0.3103448275862069
1,115,0.5205157,0.40869565217391307
2,116,0.5448794,0.45689655172413796
3,115,0.5652264,0.4782608695652174
4,116,0.57564265,0.5948275862068966
5,115,0.5855307,0.5478260869565217
6,115,0.5991432,0.5652173913043478
7,116,0.6178437,0.6379310344827587
8,115,0.6395225,0.6869565217391305
9,116,0.67609024,0.75
