removed_feature,remaining_cardio_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_full_cardio,delta_roc_auc_vs_full_cardio,delta_log_loss_vs_previous_best,full_model_coefficient,full_model_abs_coefficient
diff_avg_fight_duration_seconds,6,0.6527873626090374,0.6381267903769616,0.2306832542410852,0.6088105726872247,0.0003264259443274131,-0.0007953710041319617,-0.0005994285267986177,0.07603860479845122,0.07603860479845122
diff_third_round_or_later_rate,6,0.6524832919069569,0.6388809668669354,0.23053723231727877,0.6114537444933921,2.235524224691865e-05,-4.119451415818265e-05,-0.0009034992288791122,-0.247556310670946,0.247556310670946
diff_five_round_experience,6,0.6524807846213544,0.6387795649859305,0.2305325520866563,0.6158590308370044,1.9847956644447606e-05,-0.00014259639516311928,-0.0009060065144815832,-0.033335209865305776,0.033335209865305776
diff_decision_rate,6,0.6524654892818683,0.638887304484498,0.23052885994651204,0.6114537444933921,4.552617158370964e-06,-3.485689659554758e-05,-0.0009213018539676598,0.12419787926194308,0.12419787926194308
pre_fight_blue_late_finish_rate,6,0.652463928685482,0.6388556163966842,0.23052795654483144,0.6114537444933921,2.9920207720302017e-06,-6.654498440938905e-05,-0.0009228624503540006,-0.09322380685849037,0.09322380685849037
pre_fight_red_late_finish_rate,6,0.6524602517539934,0.6389443430425634,0.230526339597254,0.6114537444933921,-6.849107165862733e-07,2.2181661469833358e-05,-0.0009265393818426171,0.027421673745344707,0.027421673745344707
diff_five_round_fights_completed,6,0.6520157815757044,0.6393372753314572,0.23032610241042398,0.6105726872246696,-0.00044515508900555556,0.0004151139503636436,-0.0013710095601315864,0.046821276247854655,0.046821276247854655
