edge_bucket,number_of_bets,average_predicted_edge,actual_win_rate,average_implied_probability,expected_win_rate_from_model,realized_profit,roi
0.00-0.02,0,,,,,0.0,0.0
0.02-0.05,0,,,,,0.0,0.0
0.05-0.08,0,,,,,0.0,0.0
0.08-0.10,28,0.09161768667705746,0.42857142857142855,0.39683588735853165,0.48845357403558903,0.7730213387347491,0.027607904954812468
>0.10,213,0.1948624454674645,0.3051643192488263,0.30231227473373834,0.49717472020120285,-11.497202052398977,-0.053977474424408346
