model_prob_bucket,number_of_bets,win_rate,average_odds,average_model_probability,average_market_probability,average_edge,total_profit,roi,max_drawdown
<0.35,13,0.23076923076923078,6.761538461538461,0.31580300759478264,0.16058620923991743,0.15521679835486518,0.8499999999999996,0.06538461538461536,3.0
0.45-0.55,105,0.3333333333333333,3.559238095238095,0.49821858360319676,0.30107566296816585,0.19714292063503086,4.820000000000002,0.04590476190476193,18.16
0.55-0.65,50,0.38,2.591869295612049,0.5925816444250148,0.40092167428395586,0.1916599701410588,-3.81632424348325,-0.07632648486966499,11.457413443873946
0.35-0.45,61,0.22950819672131148,4.280327868852458,0.4058040197050286,0.24698272419228226,0.15882129551274635,-10.15,-0.16639344262295083,20.4
>0.65,12,0.5,1.7042416281710786,0.7311164729606149,0.5576103452184829,0.17350612774213212,-2.427856470180978,-0.2023213725150815,4.144088960885559
