subset_size,cardio_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_previous_best,delta_log_loss_vs_full_cardio,cardio_features
3,3,0.6526736940531321,0.6363744391208457,0.23066083630515366,0.614977973568282,0.0007130970827038396,-0.00021275738842219116,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, diff_five_round_experience"
3,3,0.6527202717344449,0.6367166704692371,0.23067236209131423,0.6123348017621145,0.0006665194013910636,-0.00025933506973496723,"diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6527231039137641,0.6373821203133319,0.23067727573011154,0.6096916299559472,0.0006636872220718848,-0.000262167249054146,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6527289768098681,0.6381711536999012,0.2306541063706717,0.6167400881057269,0.0006578143259678981,-0.0002680401451581327,"diff_decision_rate, pre_fight_red_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.6527367300931288,0.6377116764265978,0.23066323732814192,0.6105726872246696,0.0006500610427071507,-0.0002757934284188801,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6527604707601361,0.6380032068344867,0.23066302911987957,0.6193832599118942,0.0006263203756998736,-0.00029953409542615717,"diff_decision_rate, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6527749154688829,0.6373409257991736,0.230707851266882,0.6123348017621145,0.0006118756669530878,-0.000313978804172943,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, diff_five_round_experience"
4,4,0.6527832305947636,0.6377718837934443,0.23068626307749096,0.614977973568282,0.0006035605410723566,-0.00032229393005367424,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6527897636630322,0.635943481126575,0.23072060887242724,0.6123348017621145,0.0005970274728037683,-0.0003288269983222625,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_third_round_or_later_rate"
4,4,0.6528023218138457,0.6358959489948538,0.2307261393765729,0.6123348017621145,0.0005844693219902997,-0.00034138514913573115,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_third_round_or_later_rate, diff_five_round_experience"
4,4,0.6528202433655643,0.6380729206276776,0.2306923751386818,0.613215859030837,0.0005665477702716526,-0.0003593067008543782,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
4,4,0.6528285230109087,0.638044401348645,0.23069627392795716,0.613215859030837,0.0005582681249273191,-0.00036758634619871167,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
4,4,0.6528294052695817,0.6380285573047381,0.2306965973675794,0.6140969162995594,0.0005573858662543119,-0.00036846860487171895,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
4,4,0.652834990128634,0.6380063756432681,0.23069946580170342,0.613215859030837,0.0005518010072019797,-0.00037405346392405114,"diff_decision_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6528796559846739,0.637211004639136,0.23076285342314784,0.6088105726872247,0.0005071351511620747,-0.00041871931996395606,"pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
2,2,0.6528983060519433,0.6374011331660203,0.23077493875527508,0.614977973568282,0.0004884850838926535,-0.00043736938723337726,"pre_fight_red_late_finish_rate, diff_five_round_experience"
2,2,0.6529224229842036,0.6351449413136615,0.23079059506809743,0.6088105726872247,0.0004643681516324216,-0.0004614863194936092,"diff_decision_rate, diff_third_round_or_later_rate"
4,4,0.652951596287552,0.6377116764265978,0.23077024084387943,0.6158590308370044,0.0004351948482840262,-0.0004906596228420046,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
3,3,0.6529789482549573,0.6375532359875276,0.23077846747838507,0.614977973568282,0.0004078428808786949,-0.0005180115902473359,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
2,2,0.6529921299810889,0.6357026516591883,0.2308138277165963,0.613215859030837,0.00039466115474706687,-0.0005311933163789639,"diff_third_round_or_later_rate, diff_five_round_experience"
2,2,0.6530623039598857,0.6353730955459224,0.23086922487930844,0.6044052863436123,0.0003244871759502388,-0.000601367295175792,"diff_avg_fight_duration_seconds, pre_fight_blue_late_finish_rate"
2,2,0.6531134736479445,0.6348375668618653,0.2308885310340316,0.6061674008810573,0.0002733174878915001,-0.0006525369832345307,"diff_decision_rate, pre_fight_blue_late_finish_rate"
3,3,0.6531144068544289,0.6350276953887495,0.23087411404551858,0.613215859030837,0.0002723842814070787,-0.0006534701897189521,"diff_decision_rate, diff_third_round_or_later_rate, diff_five_round_experience"
4,4,0.6531436585497875,0.6358991178036353,0.23087340175155505,0.6096916299559472,0.00024313258604846677,-0.000682721885077564,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, diff_five_round_experience, diff_five_round_fights_completed"
