edge_bucket,number_of_bets,win_rate,average_odds,average_model_probability,average_market_probability,average_edge,total_profit,roi,max_drawdown
0.08-0.10,28,0.42857142857142855,2.5712733851422627,0.48845357403558903,0.39683588735853165,0.09161768667705746,0.7730213387347491,0.027607904954812468,10.23076923076923
0.00-0.02,0,,,,,,0.0,0.0,0.0
0.02-0.05,0,,,,,,0.0,0.0,0.0
0.05-0.08,0,,,,,,0.0,0.0,0.0
>0.10,213,0.3051643192488263,3.7594775095524513,0.49717472020120285,0.30231227473373834,0.1948624454674645,-11.497202052398977,-0.053977474424408346,32.16699453551912
