model_name,feature_count,log_loss,roc_auc,brier_score,accuracy,features
previous_best_features_plus_both_recency_types,25,0.6531122931771196,0.6359624939792633,0.23091218603784616,0.6070484581497797,"diff_age, diff_total_wins, diff_total_losses, diff_win_streak, diff_td_landed_per_fight, diff_kd_absorbed_per_fight, diff_reach, diff_sig_strike_accuracy, diff_ctrl_seconds_per_fight, diff_elo, pre_fight_ko_loss_rate_diff, diff_recent_2_win_pct, diff_recent_2_sig_strikes_landed_per_fight, diff_recent_2_sig_strikes_landed_per_min, diff_recent_2_td_landed_per_fight, diff_recent_2_ctrl_seconds_per_fight, diff_recent_2_kd_per_fight, diff_recent_2_kd_absorbed_per_fight, diff_exp_decay_win_pct, diff_exp_decay_sig_strikes_landed_per_fight, diff_exp_decay_sig_strikes_landed_per_min, diff_exp_decay_td_landed_per_fight, diff_exp_decay_ctrl_seconds_per_fight, diff_exp_decay_kd_per_fight, diff_exp_decay_kd_absorbed_per_fight"
previous_best_features_plus_best_exp_decay,18,0.6531414224857667,0.63426084366365,0.23093935120251022,0.6044052863436123,"diff_age, diff_total_wins, diff_total_losses, diff_win_streak, diff_td_landed_per_fight, diff_kd_absorbed_per_fight, diff_reach, diff_sig_strike_accuracy, diff_ctrl_seconds_per_fight, diff_elo, pre_fight_ko_loss_rate_diff, diff_exp_decay_win_pct, diff_exp_decay_sig_strikes_landed_per_fight, diff_exp_decay_sig_strikes_landed_per_min, diff_exp_decay_td_landed_per_fight, diff_exp_decay_ctrl_seconds_per_fight, diff_exp_decay_kd_per_fight, diff_exp_decay_kd_absorbed_per_fight"
previous_best_features_without_recency,11,0.6533615520298315,0.6289816082338326,0.23105712175735102,0.6079295154185022,"diff_age, diff_total_wins, diff_total_losses, diff_win_streak, diff_td_landed_per_fight, diff_kd_absorbed_per_fight, diff_reach, diff_sig_strike_accuracy, diff_ctrl_seconds_per_fight, diff_elo, pre_fight_ko_loss_rate_diff"
previous_best_features_plus_best_last_N,18,0.653386791135836,0.6343400638831851,0.2310366555229242,0.6105726872246696,"diff_age, diff_total_wins, diff_total_losses, diff_win_streak, diff_td_landed_per_fight, diff_kd_absorbed_per_fight, diff_reach, diff_sig_strike_accuracy, diff_ctrl_seconds_per_fight, diff_elo, pre_fight_ko_loss_rate_diff, diff_recent_2_win_pct, diff_recent_2_sig_strikes_landed_per_fight, diff_recent_2_sig_strikes_landed_per_min, diff_recent_2_td_landed_per_fight, diff_recent_2_ctrl_seconds_per_fight, diff_recent_2_kd_per_fight, diff_recent_2_kd_absorbed_per_fight"
compact_recency_plus_elo,15,0.6704137128823938,0.5898943519152281,0.23901605803750212,0.5674008810572687,"diff_recent_2_win_pct, diff_recent_2_sig_strikes_landed_per_fight, diff_recent_2_sig_strikes_landed_per_min, diff_recent_2_td_landed_per_fight, diff_recent_2_ctrl_seconds_per_fight, diff_recent_2_kd_per_fight, diff_recent_2_kd_absorbed_per_fight, diff_exp_decay_win_pct, diff_exp_decay_sig_strikes_landed_per_fight, diff_exp_decay_sig_strikes_landed_per_min, diff_exp_decay_td_landed_per_fight, diff_exp_decay_ctrl_seconds_per_fight, diff_exp_decay_kd_per_fight, diff_exp_decay_kd_absorbed_per_fight, diff_elo"
compact_recency_model_only,14,0.6711682254577158,0.5878156133546277,0.23933157033303804,0.5709251101321586,"diff_recent_2_win_pct, diff_recent_2_sig_strikes_landed_per_fight, diff_recent_2_sig_strikes_landed_per_min, diff_recent_2_td_landed_per_fight, diff_recent_2_ctrl_seconds_per_fight, diff_recent_2_kd_per_fight, diff_recent_2_kd_absorbed_per_fight, diff_exp_decay_win_pct, diff_exp_decay_sig_strikes_landed_per_fight, diff_exp_decay_sig_strikes_landed_per_min, diff_exp_decay_td_landed_per_fight, diff_exp_decay_ctrl_seconds_per_fight, diff_exp_decay_kd_per_fight, diff_exp_decay_kd_absorbed_per_fight"
