removed_group,removed_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss,delta_roc_auc,delta_brier_score,delta_accuracy
experience_features,7,0.6740642843137534,0.6197941992681548,0.24065886401688877,0.595810705973623,0.008645190857877627,-0.01775092708563586,0.0039128198793526026,-0.006206361520558534
physical_features,3,0.6721563437172188,0.6237039220020137,0.23977804532267097,0.582622187742436,0.006737250261342975,-0.013841204351776937,0.0030320011851348028,-0.019394879751745475
streak_features,2,0.667565801356762,0.6355779857069181,0.23779965812366388,0.5942591155934833,0.0021467079008862244,-0.001967140646872534,0.001053613986127716,-0.007757951900698168
durability_features,4,0.667230375912099,0.6345809081755446,0.23738013123503712,0.6051202482544609,0.0018112824562231955,-0.002964218178246103,0.0006340870975009572,0.003103180760279378
volume_features,2,0.666313143101544,0.6360838920405707,0.23716294814971361,0.5996896819239721,0.0008940496456681934,-0.0014612343132199834,0.0004169040121774492,-0.002327385570209395
grappling_features,5,0.6654165314812115,0.6434563717183625,0.23671376161640553,0.5965865011636928,-2.561974664305744e-06,0.005911245364571771,-3.2282521130633235e-05,-0.005430566330488662
power_features,4,0.6653138295054045,0.6391930057221444,0.23678699832033906,0.6012412723041117,-0.00010526395047127934,0.0016478793683537551,4.0954182802893646e-05,-0.0007757951900697613
opponent_strength_features,2,0.6649898007599115,0.6383162651342126,0.2365336768576429,0.6051202482544609,-0.00042929269596425623,0.0007711387804218983,-0.00021236727989326631,0.003103180760279378
