fold_id,calibration_year,test_year,model_name,rows,log_loss,roc_auc,brier_score,accuracy,precision,recall,f1
1,2012,2013,market_novig,310,0.5927691981198775,0.7344425885476895,0.2036512427846042,0.6870967741935484,0.7038834951456311,0.8011049723756906,0.7493540051679587
1,2012,2013,rf_sigmoid_market_blend,310,0.595786006221177,0.7343783459677073,0.20462619684299854,0.6838709677419355,0.6966824644549763,0.8121546961325967,0.75
1,2012,2013,rf_raw_market_blend,310,0.5963054083838853,0.7345496595143262,0.20479983680451205,0.6870967741935484,0.7038834951456311,0.8011049723756906,0.7493540051679587
1,2012,2013,rf_isotonic_market_blend,310,0.6084007289597599,0.7257055976701356,0.20978662979954366,0.6774193548387096,0.6832579185520362,0.8342541436464088,0.7512437810945274
1,2012,2013,rf_sigmoid,310,0.6797716455189906,0.533898668037175,0.24329105988532249,0.5903225806451613,0.59,0.9779005524861878,0.735966735966736
1,2012,2013,rf_isotonic,310,0.7013688050751963,0.5326352306308622,0.25212280607185983,0.5774193548387097,0.5822368421052632,0.9779005524861878,0.7298969072164948
1,2012,2013,rf_raw,310,0.7027418201301739,0.533898668037175,0.25397863844794766,0.5516129032258065,0.6071428571428571,0.6574585635359116,0.6312997347480106
2,2013,2014,market_novig,381,0.6108552766489284,0.6924538864989097,0.21171491559948102,0.6587926509186351,0.7088122605363985,0.7740585774058577,0.74
2,2013,2014,rf_raw_market_blend,381,0.6108552766489284,0.6924538864989097,0.21171491559948102,0.6587926509186351,0.7088122605363985,0.7740585774058577,0.74
2,2013,2014,rf_sigmoid_market_blend,381,0.6108552766489284,0.6924538864989097,0.21171491559948102,0.6587926509186351,0.7088122605363985,0.7740585774058577,0.74
2,2013,2014,rf_isotonic_market_blend,381,0.6108552766489284,0.6924538864989097,0.21171491559948102,0.6587926509186351,0.7088122605363985,0.7740585774058577,0.74
2,2013,2014,rf_sigmoid,381,0.6648036079693094,0.5473215864222996,0.23612222999106616,0.5958005249343832,0.6231884057971014,0.899581589958159,0.7363013698630136
2,2013,2014,rf_raw,381,0.6899258876897553,0.5473215864222996,0.24824932421818335,0.5590551181102362,0.6651162790697674,0.5983263598326359,0.6299559471365639
2,2013,2014,rf_isotonic,381,0.6989846418350949,0.5391891095527138,0.23901810028946208,0.6010498687664042,0.6330275229357798,0.8661087866108786,0.7314487632508834
3,2014,2015,market_novig,364,0.634135492350376,0.6770977143733702,0.2232658654919354,0.6043956043956044,0.6331877729257642,0.7073170731707317,0.6682027649769585
3,2014,2015,rf_sigmoid_market_blend,364,0.6344948672023351,0.674704709311244,0.22280586375291803,0.6153846153846154,0.6348547717842323,0.7463414634146341,0.6860986547085202
3,2014,2015,rf_raw_market_blend,364,0.6347554420622922,0.6739990796134376,0.22319692029215457,0.6071428571428571,0.6371681415929203,0.7024390243902439,0.6682134570765661
3,2014,2015,rf_isotonic_market_blend,364,0.6445429241024443,0.6634606534744594,0.22663993968320417,0.6236263736263736,0.6349206349206349,0.7804878048780488,0.700218818380744
3,2014,2015,rf_sigmoid,364,0.6915010131789567,0.5485197116122105,0.2488721277683759,0.5631868131868132,0.5631868131868132,1.0,0.7205623901581723
3,2014,2015,rf_raw,364,0.6965165163334405,0.5485197116122105,0.25097224205180807,0.5439560439560439,0.5866666666666667,0.6439024390243903,0.6139534883720931
3,2014,2015,rf_isotonic,364,1.0668221108114753,0.5329651787083908,0.2634800115394991,0.5741758241758241,0.5710227272727273,0.9804878048780488,0.7217235188509874
4,2015,2016,market_novig,416,0.634800149394917,0.6714962121212121,0.22251701999347312,0.6177884615384616,0.6401384083044983,0.7708333333333334,0.6994328922495274
4,2015,2016,rf_raw_market_blend,416,0.6351959992001321,0.6707623106060606,0.22264249301751438,0.6009615384615384,0.6267123287671232,0.7625,0.6879699248120301
4,2015,2016,rf_isotonic_market_blend,416,0.6358465538429126,0.6749526515151516,0.2229119164666191,0.6105769230769231,0.6274509803921569,0.8,0.7032967032967034
4,2015,2016,rf_sigmoid_market_blend,416,0.6363815583697531,0.6707859848484848,0.22307731442670825,0.6057692307692307,0.6266666666666667,0.7833333333333333,0.6962962962962963
4,2015,2016,rf_sigmoid,416,0.6742573231070202,0.5660037878787879,0.2407370402042234,0.5697115384615384,0.5878962536023055,0.85,0.6950596252129472
4,2015,2016,rf_raw,416,0.6805382931565839,0.5660037878787879,0.24374143336865425,0.5817307692307693,0.6204379562043796,0.7083333333333334,0.6614785992217899
4,2015,2016,rf_isotonic,416,0.6974826985046655,0.5715317234848485,0.23985545507147016,0.5841346153846154,0.6063492063492063,0.7958333333333333,0.6882882882882883
5,2016,2017,market_novig,397,0.6161898559809674,0.7127774076162164,0.2135720843385882,0.6750629722921915,0.6877637130801688,0.7477064220183486,0.7164835164835165
5,2016,2017,rf_raw_market_blend,397,0.6161898559809674,0.7127774076162164,0.2135720843385882,0.6750629722921915,0.6877637130801688,0.7477064220183486,0.7164835164835165
5,2016,2017,rf_sigmoid_market_blend,397,0.6161898559809674,0.7127774076162164,0.2135720843385882,0.6750629722921915,0.6877637130801688,0.7477064220183486,0.7164835164835165
5,2016,2017,rf_isotonic_market_blend,397,0.6164421683109683,0.7179283481113219,0.2133999622821084,0.6876574307304786,0.6910569105691057,0.7798165137614679,0.7327586206896551
5,2016,2017,rf_raw,397,0.6598165274756507,0.6481215724463123,0.23330284811482918,0.6297229219143576,0.6414342629482072,0.7385321100917431,0.6865671641791045
5,2016,2017,rf_sigmoid,397,0.6654238425007653,0.6481215724463123,0.23622082839421485,0.5994962216624685,0.5870206489675516,0.9128440366972477,0.7145421903052065
5,2016,2017,rf_isotonic,397,0.725515792895586,0.615217057044744,0.23767913681992411,0.6171284634760705,0.6460176991150443,0.6697247706422018,0.6576576576576577
6,2017,2018,market_novig,436,0.6017646700080505,0.7279497818916907,0.20830759133225735,0.6444954128440367,0.6628787878787878,0.7261410788381742,0.693069306930693
6,2017,2018,rf_sigmoid_market_blend,436,0.6049361262525791,0.7269071177784869,0.20927869617119485,0.6467889908256881,0.667953667953668,0.7178423236514523,0.692
6,2017,2018,rf_raw_market_blend,436,0.6051776619523715,0.7269922332162996,0.2093568616229307,0.6467889908256881,0.667953667953668,0.7178423236514523,0.692
6,2017,2018,rf_isotonic_market_blend,436,0.6132006930485671,0.7205447388020002,0.21245248471367706,0.6559633027522935,0.6743295019157088,0.7302904564315352,0.701195219123506
6,2017,2018,rf_raw,436,0.6823474827531357,0.5931269283966379,0.2441462319743605,0.5940366972477065,0.626984126984127,0.6556016597510373,0.640973630831643
6,2017,2018,rf_sigmoid,436,0.6829015674236327,0.5931269283966379,0.24406041985074234,0.6009174311926605,0.6273764258555133,0.6846473029045643,0.6547619047619048
6,2017,2018,rf_isotonic,436,0.7667560258560849,0.5972656665602724,0.24686781066033747,0.6032110091743119,0.625,0.7053941908713693,0.6627680311890838
7,2018,2019,market_novig,469,0.6279753581980712,0.6883314855875831,0.21953517124579067,0.6396588486140725,0.6567656765676567,0.7537878787878788,0.7019400352733686
7,2018,2019,rf_raw_market_blend,469,0.6279753581980712,0.6883314855875831,0.21953517124579067,0.6396588486140725,0.6567656765676567,0.7537878787878788,0.7019400352733686
7,2018,2019,rf_sigmoid_market_blend,469,0.6279753581980712,0.6883314855875831,0.21953517124579067,0.6396588486140725,0.6567656765676567,0.7537878787878788,0.7019400352733686
7,2018,2019,rf_isotonic_market_blend,469,0.6279753581980712,0.6883314855875831,0.21953517124579067,0.6396588486140725,0.6567656765676567,0.7537878787878788,0.7019400352733686
7,2018,2019,rf_isotonic,469,0.6654220808957295,0.5916666666666666,0.2370834797757261,0.5863539445628998,0.5911458333333334,0.8598484848484849,0.7006172839506173
7,2018,2019,rf_sigmoid,469,0.6677406464673685,0.5985772357723577,0.23770070478960129,0.5778251599147122,0.5887096774193549,0.8295454545454546,0.6886792452830188
7,2018,2019,rf_raw,469,0.6699173255285275,0.5985772357723577,0.2389828609211806,0.5692963752665245,0.6123188405797102,0.6401515151515151,0.6259259259259259
8,2019,2020,market_novig,409,0.6141548297623342,0.7003462743908604,0.2124829778554066,0.6674816625916871,0.7101449275362319,0.7777777777777778,0.7424242424242424
8,2019,2020,rf_raw_market_blend,409,0.6141548297623342,0.7003462743908604,0.2124829778554066,0.6674816625916871,0.7101449275362319,0.7777777777777778,0.7424242424242424
