market_prob_bucket,number_of_bets,win_rate,average_odds,average_model_probability,average_market_probability,average_edge,total_profit,roi,max_drawdown
heavy favorite,1,1.0,1.3355704697986577,0.8306189579763518,0.7179705215419501,0.1126484364344017,0.3355704697986577,0.3355704697986577,0.0
near coin flip,19,0.5789473684210527,1.9138426759084837,0.6294002844573208,0.5008738833893888,0.12852640106793198,1.6756408805945504,0.08819162529445002,3.65830546265329
underdog,136,0.34558823529411764,2.873288852578068,0.5041295852893237,0.3406314199032201,0.16349816538610373,-3.8999999999999995,-0.02867647058823529,19.47
longshot,78,0.1794871794871795,5.551282051282051,0.4259151615924083,0.18933742337055934,0.23657773822184888,-8.050000000000002,-0.10320512820512824,20.900000000000002
slight favorite,7,0.5714285714285714,1.6140712937111803,0.7146692728044819,0.596450418377608,0.11821885442687385,-0.7853920640574359,-0.11219886629391941,2.397590361445783
