segment,number_of_bets,win_rate,roi,average_edge,average_odds,total_profit
favorites_only,24,0.625,0.08857580359732387,0.13409845485220603,1.7610151799439748,2.1258192863357728
underdogs_only,217,0.2857142857142857,-0.05921658986175115,0.18826098246578157,3.827188940092166,-12.85
longshots_only,134,0.22388059701492538,-0.09104477611940301,0.21740603101912387,4.617537313432836,-12.200000000000003
