odds_bucket,number_of_bets,win_rate,average_odds,average_model_probability,average_market_probability,average_edge,total_profit,roi,max_drawdown
odds < 1.5,3,1.0,1.414514471691443,0.7924830664421911,0.6792436491125547,0.11323941732963631,1.243543415074329,0.414514471691443,0.0
1.5 <= odds < 2.0,21,0.5714285714285714,1.810515281122908,0.658462865876819,0.5213845485213886,0.13707831735543027,0.8822758712614434,0.0420131367267354,3.925461041490377
odds >= 5.0,35,0.17142857142857143,7.1171428571428565,0.41828740983700335,0.14542438047930079,0.27286302935770257,1.3499999999999996,0.03857142857142856,9.0
2.0 <= odds < 3.0,83,0.3855421686746988,2.5512048192771086,0.5205431144961253,0.37933558391164324,0.14120753058448202,-0.6500000000000017,-0.007831325301204839,15.04
3.0 <= odds < 5.0,99,0.24242424242424243,3.733838383838384,0.45984452773373136,0.2620445062282465,0.1978000215054849,-13.55,-0.1368686868686869,20.25
